"V1","V2"
-3760.97096621545,18.8058067569092
-3810,9
-3970,-61
-3990,-101
-4100,-151
-4350,-261
-4880,-571
-5480,-1061
-5990,-1771
-6210,-2261
-4080,-4171
-3880,-4351
-3550,-4151
-2880,-3461
-2750,-4061
-2480,-4661
-2080,-4571
-390,-4571
500,-4571
540,-4441
790,-4261
320,-3371
-170,-2771
-300,-2771
-60,-2751
830,-2771
2250,-2301
2410,-2061
2810,-551
2850,359
2900,339
2830,849
3100,2049
2540,2119
1590,2139
1340,2049
1140,1609
990,1249
850,1429
630,1609
430,2119
410,2849
300,3649
50,4049
-190,4099
-150,4049
-1170,4249
-3150,4539
-4950,4359
-4900,4029
-4950,3499
-4860,2759
-4680,2139
-4370,2229
-4210,2119
-3660,1759
-3590,1629
-4260,1809
-4590,1539
-4010,939
-3480,629
-3010,339
-2810,339
-3610,49
