"V1","V2"
-897.735009811261,-3172.60251471689
-870,-3131
-650,-2731
-560,-3021
-360,-3511
-160,-3731
620,-4311
840,-4401
1440,-3911
1510,-3801
1460,-3731
1930,-3511
2550,-3421
3040,-3311
3330,-3401
3350,-3221
3220,-2891
2550,-2511
2440,-2511
2130,-2421
2240,-2311
2240,-2131
2317.91044776119,-2035.776119403
2798.27676951241,-1718.55307673709
2840,-1691
2860,-1531
3060,-1491
2820,-1221
2590,-1021
2550,-1041
2350,-911
2110,-731
1950,-551
2220,-551
2550,-511
3420,-291
3460,-201
3150,869
2550,2269
2220,2759
2040,2999
950,3979
-410,2289
-450,2289
-560,2909
-850,3599
-1160,3999
-1890,3799
-2670,3709
-3580,3669
-3760,3469
-4980,3049
-3980,1779
-3160,979
-2360,559
-2010,489
-2410,159
-2850,-21
-2810,-21
-3470,-601
-3980,-1201
-4210,-1911
-4380,-1951
-4410,-2691
-3780,-3241
-2410,-4241
-2250,-4641
-1870,-4351
-1270,-3731
