"V1","V2"
4117.23675925045,-1284.36800504261
4080,-1251
3560,-921
3190,-741
2960,-741
3430,-521
4360,149
4760,549
5030,969
5050,1149
3540,2039
2450,2709
2300,2619
2120,2219
1960,1679
1940,1329
1540,1859
900,2309
160,1989
-550,1659
-1100,1189
-1680,749
-1390,309
-920,-71
-280,-451
-1190,-871
-1880,-1321
-1860,-1921
-1240,-3611
-880,-4471
-750,-4541
-480,-4541
-150,-4121
230,-3851
520,-3541
540,-3251
720,-3271
1160,-4071
1610,-4651
1790,-4811
2210,-4761
3080,-4631
3030,-4611
3830,-4411
3990,-4161
4590,-3651
5250,-2981
5320,-2831
5280,-2581
4850,-1941
