"V1","V2"
-220,-3011
-110,-3161
-20,-3361
130,-3561
400,-3691
780,-3651
1180,-3541
1600,-3411
1980,-3251
2330,-3161
2690,-3051
3090,-2851
3400,-2651
3580,-2561
3690,-2411
3850,-2451
4000,-2271
4090,-2141
4250,-1961
4330,-1781
4160,-1761
4070,-1651
3730,-1251
3470,-891
3180,-561
2890,-361
2600,-91
2470,39
2330,189
2160,259
1980,349
1890,439
1780,439
1690,509
1670,549
1690,619
2180,659
2490,839
2850,1039
3180,1239
3490,1549
3800,1949
4000,2389
4160,2749
4270,3019
3980,3149
3580,3419
3290,3639
2960,3839
2670,3989
2270,4259
1980,4439
1890,4459
1760,4389
1690,4189
1530,3929
1450,3749
1380,3639
1380,3419
1180,3549
890,3819
670,4039
490,4259
200,4389
90,4439
0,4389
-20,4349
-220,4259
-440,4189
-710,4059
-1020,3949
-1270,3749
-1640,3709
-1870,3459
-2200,3239
-2470,3059
-2640,2819
-2930,2639
-3110,2549
-3220,2439
-3110,2109
-2870,1949
-2640,1819
-2620,1639
-2400,1589
-2270,1509
-2130,1439
-2130,1349
-2220,1259
-2310,1129
-2330,1019
-2530,789
-2870,619
-3000,509
-3130,349
-3310,219
-3420,59
-3420,-51
-3330,-381
-3220,-891
-3040,-1291
-2950,-1561
-2840,-1811
-2820,-1961
-2710,-2091
-2620,-2291
-2530,-2471
-2440,-2651
-2330,-2941
-2150,-2781
-1820,-2651
-1620,-2471
-1240,-2251
-930,-2051
-800,-1961
-640,-1941
-550,-1961
-470,-2251
-420,-2361
-350,-2471
-310,-2651
-270,-2891
-240,-2981
-200,-3051
