   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 1.  .2369E+04  .2609E+04 -.75E+03 -.41E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 2.  .2499E+04  .6139E+04 -.208E+04  .254E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3.  .1769E+04  .5789E+04 -.428E+04 -.208E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 4. -.1301E+04  .1769E+04 -.397E+04 -.17E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .177E+04  .29E+02   .   .   .   .  .23E+02  6.  .5944272E+02  .1227271E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .168E+04  .29E+02   .   .   .   .  .23E+02  6.  .6130031E+02  .1023301E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .151E+04 -.31E+02   .   .   .   .  .23E+02  6.  .6934985E+02  .1071227E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .156E+04 -.101E+03   .   .   .   .  .23E+02  6.  .5634675E+02  .1321588E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .147E+04 -.81E+02   .   .   .   .  .22E+02  6.  .6315789E+02  .6452664E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .142E+04 -.71E+02   .   .   .   .  .22E+02  6.  .5325077E+02  .5915901E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .134E+04 -.91E+02   .   .   .   .  .22E+02  6.  .7987616E+02  .5478822E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .136E+04  .39E+02   .   .   .   .  .22E+02  6.  .5386997E+02  .3427618E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .146E+04  .49E+02   .   .   .   .  .22E+02  6.  .6377709E+02  .8308332E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .147E+04  .209E+03   .   .   .   .  .22E+02  7.  .6625387E+02  .1078511E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .134E+04  .149E+03   .   .   .   .  .22E+02  7.  .7616099E+02  .1098832E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .131E+04 -.181E+03   .   .   .   .  .22E+02  5.  .3962848E+02  .2913859E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .142E+04 -.181E+03   .   .   .   .  .22E+02  5.  .4705882E+02  .5283287E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .145E+04 -.151E+03   .   .   .   .  .22E+02  6.  .3157895E+02  .5578506E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .134E+04 -.221E+03   .   .   .   .  .22E+02  5.  .5325077E+02  .1529776E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .121E+04 -.201E+03   .   .   .   .  .21E+02  5.  .8111455E+02  .1866403E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .124E+04 -.171E+03   .   .   .   .  .22E+02  6.  .7616099E+02  .2235237E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .122E+04 -.261E+03   .   .   .   .  .21E+02  5.  .5510836E+02  .6897411E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .119E+04 -.311E+03   .   .   .   .  .21E+02  5.  .5634675E+02  .1880589E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .114E+04 -.301E+03   .   .   .   .  .21E+02  5.  .6996904E+02  .1803142E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .109E+04 -.311E+03   .   .   .   .  .21E+02  5.  .5510836E+02  .3335602E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .105E+04 -.351E+03   .   .   .   .  .21E+02  5.  .5944272E+02  .5961909E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .99E+03 -.361E+03   .   .   .   .  .21E+02  5.  .7120743E+02  .5103087E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .108E+04 -.361E+03   .   .   .   .  .21E+02  5.  .4396285E+02  .6180448E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .114E+04 -.341E+03   .   .   .   .  .21E+02  5.  .2352941E+02  .456249E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .94E+03 -.431E+03   .   .   .   .  .2E+02  5.  .5820433E+02  .1142539E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .96E+03 -.321E+03   .   .   .   .  .21E+02  5.  .6006192E+02  .7553029E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .102E+04 -.241E+03   .   .   .   .  .21E+02  5.  .6873065E+02  .7537693E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .107E+04 -.261E+03   .   .   .   .  .21E+02  5.  .7368421E+02  .521044E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .107E+04 -.281E+03   .   .   .   .  .21E+02  5.  .4458204E+02  .3761179E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .109E+04 -.171E+03   .   .   .   .  .21E+02  6.  .5944272E+02  .1698857E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .111E+04 -.111E+03   .   .   .   .  .21E+02  6.  .5634675E+02  .1316988E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .116E+04 -.131E+03   .   .   .   .  .21E+02  6.  .5820433E+02  .1102282E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .104E+04 -.111E+03   .   .   .   .  .21E+02  6.  .4272446E+02  .680156E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .102E+04 -.141E+03   .   .   .   .  .21E+02  6.  .4520124E+02  .1459997E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .105E+04 -.161E+03   .   .   .   .  .21E+02  6.  .5386997E+02  .1956886E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .99E+03 -.211E+03   .   .   .   .  .21E+02  5.  .3467492E+02  .5889062E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .102E+04 -.181E+03   .   .   .   .  .21E+02  6.  .5510836E+02  .1544729E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .94E+03 -.171E+03   .   .   .   .  .21E+02  6.  .7430341E+02  .1286699E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .96E+03 -.141E+03   .   .   .   .  .21E+02  6.  .4024768E+02  .2357925E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .1E+04 -.91E+02   .   .   .   .  .21E+02  6.  .377709E+02  .121922E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .96E+03 -.81E+02   .   .   .   .  .21E+02  6.  .3900929E+02  .1583452E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .92E+03 -.281E+03   .   .   .   .  .2E+02  5.  .873065E+02  .3665328E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .93E+03 -.211E+03   .   .   .   .  .2E+02  5.  .3034056E+02  .8158805E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .97E+03 -.241E+03   .   .   .   .  .21E+02  5.  .7925697E+02  .6590689E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .103E+04 -.311E+03   .   .   .   .  .21E+02  5.  .4086687E+02  .9232332E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .104E+04 -.381E+03   .   .   .   .  .21E+02  5.  .4458204E+02  .6157444E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .88E+03 -.441E+03   .   .   .   .  .2E+02  5.  .5696594E+02  .1678536E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .82E+03 -.421E+03   .   .   .   .  .2E+02  5.  .7616099E+02  .587756E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .83E+03 -.391E+03   .   .   .   .  .2E+02  5.  .755418E+02  .2034717E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .85E+03 -.371E+03   .   .   .   .  .2E+02  5.  .4891641E+02  .1292066E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .83E+03 -.341E+03   .   .   .   .  .2E+02  5.  .4210526E+02  .1008349E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.951E+03  .2499E+04 -.15E+03  .274E+04   .   .  .81E+03 -.301E+03   .   .   .   .  .2E+02  5.  .5696594E+02  .4363121E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
