"V1","V2"
3230,1659
3760,2059
4320,3319
4360,4059
3940,4259
4300,4319
4410,4739
3940,4769
3160,4989
2560,5119
2610,5119
1030,5369
960,4609
810,4459
520,5029
390,4429
560,4119
30,4409
-280,4809
-790,4279
-1370,3859
-2010,3169
-2750,2139
-2460,1939
-2080,2009
-1480,1679
-1370,2009
-1330,1569
-970,1519
-1930,369
-2130,79
-1550,-1301
-790,-811
-700,-881
-1350,-1371
-810,-1921
-260,-1411
100,-1341
720,-941
520,-2011
410,-2661
410,-2611
320,-3031
2610,-3061
3010,-3171
4190,-3031
4320,-3031
4410,-2591
4140,-2321
3230,-1011
2430,-211
830,319
650,299
830,459
