"V1","V2"
2450.03185728262,1070.78457652562
2500,1069
3030,1419
4010,1219
5250,1179
4610,2579
4450,3289
4270,3289
4230,3619
3650,3949
3140,4399
2450,3709
2830,3289
3870,2779
2960,2289
2450,1839
1850,1579
1180,1309
2180,1909
1500,2469
1250,2199
1520,3639
1140,3909
780,3549
670,3619
230,3839
120,3579
-300,3779
-1570,3109
-660,2489
-1060,2489
-1500,2349
-1880,2179
-1820,1779
-1300,1619
-330,1019
-1060,1019
-1680,909
-2080,709
-2150,269
-1660,-1
-2170,-21
-2170,-201
-1020,-2401
-680,-2981
-260,-2451
-750,-1821
-420,-1801
300,-2271
360,-1421
500,-961
960,-1851
1560,-2131
2539.60396039604,-2582.38613861386
3454.74881491251,-2152.26805699112
3500,-2131
4270,-1421
4230,-961
4180,-491
3700,219
3210,819
2670,779
2270,949
1984.53012048191,1087.40963855422
