"V1","V2"
1532.16062952592,4054.46058348337
1580,4069
2830,4979
1070,5709
-710,5779
-1530,5759
-1350,5469
-1260,4429
-1950,5379
-2060,5469
-3150,5309
-1970,4159
-3150,4269
-3240,3179
-2640,2339
-2660,1159
-3550,2139
-3946.8888888889,2139
-4277.74095910869,1747.20149579235
-4310,1709
-3350,869
-1950,49
-1420,1109
-950,1449
-660,469
-370,-151
-330,-151
-130,-261
1380,269
1270,1159
1960,629
2760,1979
1293.86564666508,2647.23810662204
2710.13570067752,2542.68125699696
2760,2539
2140,2979
1070,3429
580.198019801975,3765.13861386139
