   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 1. -.891E+03 -.691E+03  .18E+03  .47E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 2. -.781E+03  .2779E+04 -.85E+03  .407E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.1311E+04  .979E+03 -.347E+04 -.38E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 4. -.4541E+04 -.1291E+04 -.345E+04  .111E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .  .24E+03 -.1121E+04   .   .   .   .  .14E+02  .14E+02  .4272446E+02  .1303569E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .  .19E+03 -.1271E+04   .   .   .   .  .14E+02  .13E+02  .2167183E+02  .1437759E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .  .21E+03 -.1221E+04   .   .   .   .  .14E+02  .13E+02  .2662539E+02  .2518955E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .  .45E+03 -.1071E+04   .   .   .   .  .15E+02  .14E+02  .2910217E+02  .273366E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .  .55E+03 -.1291E+04   .   .   .   .  .15E+02  .13E+02  .3591331E+02  .7541527E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   . -.18E+03 -.1251E+04   .   .   .   .  .13E+02  .13E+02  .2786378E+02  .4179087E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   . -.8E+02 -.1141E+04   .   .   .   .  .13E+02  .14E+02  .25387E+02  .1798158E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .  .6E+02 -.1411E+04   .   .   .   .  .14E+02  .13E+02  .371517E+02  .149527E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   . -.12E+03 -.1441E+04   .   .   .   .  .13E+02  .13E+02  .2910217E+02  .613444E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.4291E+04 -.651E+03  .91E+03  .298E+04   .   .  .1E+02 -.1581E+04   .   .   .   .  .13E+02  .12E+02  .2291022E+02  .5996415E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
