"","dataset","E","El","nflip","EOD","sqrt.E","mean.strain","mean.logstrain","OD.phi","OD.lambda","status","mess","time"
"1","adult_retina/_waste/GMA144/R-CONTRA",0.00351817497060266,0.00351817489617918,0,7.08802136591895,0.0593142048431839,0.0656051913369401,0.0662426877292007,-1.44708701650791,2.05128646968666,"0","Success","74.985"
"2","adult_retina/data/C57BL6J/GM119/R-CONTRA",0.00377531430867352,0.00377484621067708,0,9.77168886207855,0.0614397771047152,0.0581163337045341,0.0594181664686294,-1.40024818267117,0.447629204944255,"0","Success","75.152"
"3","adult_retina/data/C57BL6J/GM1195/R-CONTRA",3.0848641536926,0.00233059446715769,2,8.43361575057462,0.0482762308714929,0.0561111515487085,0.0576488122657557,-1.42360196409932,0.728547406278604,"0","Success","64.01"
"4","adult_retina/data/C57BL6J/GM122/R-CONTRA",0.00253298924181065,0.00253298871030432,0,8.23483042697696,0.0503288059693882,0.0594812303608704,0.0607876673742702,-1.42707142250074,0.467330576004973,"0","Success","75.687"
"5","adult_retina/data/C57BL6J/GM124/R-CONTRA",0.00307609665330674,0.00307609527452303,0,5.76932721766887,0.0554625574105903,0.0711960725694361,0.0735643596786899,-1.47010257122165,0.368589873323727,"0","Success","356.297"
"6","adult_retina/data/C57BL6J/GM126/R-CONTRA",0.00485584122099627,0.00485584003625074,0,7.78868278650448,0.0696838577882334,0.0797667331350372,0.0811405316594838,-1.43485816777699,0.945175343665961,"0","Success","105.01"
"7","adult_retina/data/C57BL6J/GM133/R-CONTRA",0.00280800167601674,0.00280800137981979,0,7.58530834668532,0.052990578217451,0.0599917023718194,0.06075522412609,-1.43840772136623,1.75255279467023,"0","Success","151.432"
"8","adult_retina/data/C57BL6J/GM134/R-CONTRA",0.00303494100604025,0.00303490172192347,0,5.41552493712264,0.0550899421121811,0.071604040671053,0.0749971269614849,-1.47627758591825,2.45239521760436,"0","Success","75.055"
"9","adult_retina/data/C57BL6J/GM136/R-CONTRA",0.00192154125405911,0.00192154125405911,0,4.32993859704251,0.0438353881476953,0.0487920658239078,0.0494555362868532,-1.49522464186732,-3.06686992342173,"0","Success","141.567"
"10","adult_retina/data/C57BL6J/GM137/R-CONTRA",0.00279229053850813,0.00279228674799734,0,3.54788438740432,0.0528420925777674,0.0566023332939165,0.0575526734752534,-1.50887406275459,1.05459004158486,"0","Success","92.19"
"11","adult_retina/data/C57BL6J/GM140/R-CONTRA",0.00289109679433524,0.00289109324945679,0,7.22046751241271,0.0537688873741757,0.0605023201440305,0.0612602367492921,-1.44477539517001,1.1987868104932,"0","Success","86.316"
"12","adult_retina/data/C57BL6J/GM150/R-CONTRA",1.37963541973295,1.30946191197199,0,44.9342860546084,1.14431722523608,1.38167180180743,0.777846006415248,-0.786545088109007,0.736636147163143,"0","Success","1254.978"
"13","adult_retina/data/C57BL6J/GM154/R-CONTRA",0.00293539078295521,0.00293538749469584,0,5.06550219389888,0.0541792164459383,0.0640781000115682,0.0654075612551137,-1.48238663524436,1.26650021207168,"0","Success","81.39"
"14","adult_retina/data/C57BL6J/GM157/R-CONTRA",0.00408549284802426,0.00408543965060816,0,8.08941826014473,0.0639174440243676,0.0681719084062775,0.0689289355662101,-1.42960934358442,2.09617963115632,"0","Success","81.424"
"15","adult_retina/data/C57BL6J/GM247/R-CONTRA",0.00326689577564706,0.00326687878731557,0,6.51875714250274,0.0571566163039378,0.0673517731828329,0.0684065260313195,-1.45702255152033,0.596869852767982,"0","Success","174.9"
"16","adult_retina/data/C57BL6J/GM269/R-CONTRA",0.00238991312053986,0.00238991310469221,0,6.22665021320883,0.0488867375132787,0.0539150855695336,0.0543755693936605,-1.4621207792044,1.48530292480528,"0","Success","60.986"
"17","adult_retina/data/C57BL6J/GM282/R-CONTRA",0.00335382421959415,0.00335380358757457,0,12.5030181307893,0.0579120331846031,0.0734238449111794,0.0759085853523505,-1.35257749397608,1.63169084929644,"0","Success","92.805"
"18","adult_retina/data/C57BL6J/GM283/R-CONTRA",0.00277682772290501,0.00277672739013378,0,7.39232822373538,0.0526946618751253,0.0682400812486963,0.0683053253789885,-1.44177585990261,0.540148465719779,"0","Success","95.99"
"19","adult_retina/data/C57BL6J/GM493/R-CONTRA",0.00276156793313921,0.00276156781364807,0,10.1880432224048,0.0525506214392187,0.0546169241954991,0.0557605962645181,-1.39298142822844,2.19305955689049,"0","Success","74.436"
"20","adult_retina/data/C57BL6J/GM508/R-CONTRA",0.00600316113035954,0.00600315409525009,0,12.8634431597853,0.0774800238464734,0.0831393475233751,0.0842403522747798,-1.3462868905135,1.96971386035287,"0","Success","201.533"
"21","adult_retina/data/C57BL6J/GM509/R-CONTRA",0.00196185838053723,0.00196185814061134,0,5.87189740124288,0.044292867830062,0.0462599856070616,0.0470744799465339,-1.46831238380391,1.48845397663448,"0","Success","115.439"
"22","adult_retina/data/C57BL6J/GM510/R-CONTRA",0.0016447655369925,0.00164476525895002,0,6.64730491767715,0.0405557056275688,0.0434032136450695,0.0444358630665755,-1.45477896959742,0.688504646803098,"0","Success","90.132"
"23","adult_retina/data/C57BL6J/GM511/R-CONTRA",0.00329737344174243,0.00329737287161915,0,6.76031782042567,0.0574227556951001,0.0580370728148922,0.0596850333724167,-1.45280652234722,2.03472443755888,"0","Success","131.219"
"24","adult_retina/data/C57BL6J/GM521/R-CONTRA",0.00180705480420537,0.00180702654340975,0,6.48225314505385,0.0425091348231147,0.0534551895743621,0.0561355693893461,-1.45765966646595,1.59711763848915,"0","Success","52.257"
"25","adult_retina/data/C57BL6J/GM522/R-CONTRA",0.00168150717378054,0.00168150679570293,0,4.19387819962922,0.0410061799696452,0.0444985170842703,0.0455900836973865,-1.49759934378375,-0.64914602093684,"0","Success","61.96"
"26","adult_retina/data/C57BL6J/GM523/R-CONTRA",0.402323644011246,0.00309784793647134,33,1.68366578673938,0.0556583141720205,0.42979963988533,0.289489311570498,-1.54141081531311,2.23824179618243,"0","Success","2384.375"
"27","adult_retina/data/C57BL6J/single/green/GM270/R-CONTRA",0.0028601548173848,0.00286015058181206,0,6.34005586965372,0.0534803756700723,0.0619568117736631,0.0633294927991124,-1.46014147710905,0.615724457412469,"0","Success","59.488"
"28","adult_retina/data/C57BL6J/single/green/GM517/R-CONTRA",0.00285779766696916,0.00285762585289915,0,6.00681369386355,0.0534567662031586,0.0805096865702859,0.0855648443517444,-1.46595765028309,2.18268288615242,"0","Success","129.245"
"29","adult_retina/data/C57BL6J/single/red/GM246/R-CONTRA",0.00222536945506509,0.00222536913357758,0,4.97043923379222,0.0471738183061068,0.053557785655457,0.0538998521776719,-1.48404579689492,-2.40350468559796,"0","Success","240.715"
"30","adult_retina/data/C57BL6J/single/red/GM250/R-CONTRA",0.00308285030812335,0.00308284469992377,0,9.98856643633901,0.0555233707543389,0.0639982019534713,0.0650083916756488,-1.39646295492658,0.610370144853057,"0","Success","205.437"
"31","adult_retina/data/C57BL6J/single/red/GM251/R-CONTRA",0.00270610033503421,0.00270609870397759,0,8.90828177212897,0.0520201759318208,0.0678573979107393,0.0699866558540553,-1.41531747917585,0.95420954805265,"0","Success","542.897"
"32","adult_retina/data/C57BL6J/single/red/GM494/R-CONTRA",0.00189196965431413,0.00189196941504157,0,3.36493198437384,0.0434967747659705,0.0452628151458324,0.0460016465506035,-1.51206718456191,-2.1864350466582,"0","Success","58.772"
"33","adult_retina/data/C57BL6J/single/red/GM507/R-CONTRA",0.00182789042720133,0.00182788997671573,0,6.51653047196598,0.0427538299654631,0.0453570524217917,0.0461183628240057,-1.45706141425255,2.69588353666747,"0","Success","122.31"
"34","adult_retina/data/CD-1/GMA146/R-CONTRA",0.00408998863040102,0.00408998449827875,0,8.06436329444496,0.0639529866251667,0.0754805303294918,0.0776029225303213,-1.43004663522986,2.10938582293068,"0","Success","230.213"
