"V1","V2"
390,2299
700,2079
1170,1879
790,1989
500,1879
-190,1549
-610,1369
-1010,1149
-1410,769
-1920,99
-2280,-431
-1590,-1051
-610,-1941
-210,-2251
-80,-2321
390,-2141
660,-1941
810,-1901
990,-2301
1100,-2651
1170,-2761
1390,-2721
2300,-2651
2790,-2501
3190,-2411
3770,-2361
3900,-2341
3970,-2141
3880,-1431
3700,-1251
3500,-1051
3500,-851
3700,-741
4300,-591
5100,-301
5170,-121
5100,679
5100,1459
5120,2169
5260,2789
4900,2859
4410,2769
3610,2589
3500,2659
3660,3259
3700,3789
3590,4299
3120,4459
2010,4569
390,5079
80,5279
-120,4949
-300,4899
-410,4369
-410,3839
-140,3099
190,2459
