"V1","V2"
467.732711706027,2182.25012368411
450,2229
50,2559
-90,2539
-220,2539
-420,2649
-620,2589
-780,2559
-870,2499
-840,2389
-1040,2319
-1240,2249
-1330,2139
-1510,2009
-1580,1869
-1600,1739
-1750,1559
-1870,1539
-1950,1249
-1950,939
-1950,669
-1870,449
-1890,409
-2090,389
-2130,249
-2150,29
-2220,-171
-2220,-301
-2090,-481
-1950,-681
-1910,-701
-1620,-951
-1380,-1061
-1150,-1171
-840,-1081
-910,-1241
-910,-1481
-890,-1771
-840,-2081
-870,-2281
-780,-2391
-750,-2411
-330,-2611
-220,-2681
-330,-2931
-420,-3101
-220,-3211
-180,-3281
20,-3151
130,-3061
270,-3081
450,-3101
710,-3101
1070,-3211
1380,-3261
1580,-3261
1730,-3151
2000,-3101
2330,-3011
2560,-2931
2650,-2791
2800,-2611
2910,-2411
3070,-2171
3110,-2011
3200,-1971
3160,-1771
3050,-1461
2890,-1191
2760,-1041
2870,-1011
3270,-951
3510,-701
3650,-481
3800,-171
3780,-11
3910,49
4020,389
4130,539
4160,739
4050,919
3910,939
3800,1099
3650,1209
3490,1339
3360,1629
3110,1959
3000,2139
3220,2229
3200,2519
3250,2669
3160,3029
2850,3339
2890,2989
2560,2849
2310,2719
2000,2649
1760,2609
1710,2539
1650,2519
1420,2699
1270,2589
1020,2409
820,2269
780,2339
670,2229
580,2099
560,1939
