   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 1.  .3349E+04  .3509E+04 -.95E+03 -.7E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 2.  .3569E+04  .6749E+04 -.313E+04  .172E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3.  .2659E+04  .4659E+04 -.428E+04 -.308E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 4. -.251E+03  .2679E+04 -.444E+04 -.15E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.189E+04  .6229E+04   .   .   .   .  .1E+02  .24E+02  .4520124E+02  .1336541E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.154E+04  .6219E+04   .   .   .   .  .11E+02  .23E+02  .3529412E+02  .5958075E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.114E+04  .6489E+04   .   .   .   .  .13E+02  .24E+02  .2972136E+02  .110765E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.55E+03  .6199E+04   .   .   .   .  .15E+02  .23E+02  .501548E+02  .1563132E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.55E+03  .6569E+04   .   .   .   .  .15E+02  .25E+02  .3405573E+02  .1912795E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .148E+04  .6169E+04   .   .   .   .  .22E+02  .23E+02  .3343653E+02  .7438009E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .86E+03  .6549E+04   .   .   .   .  .2E+02  .25E+02  .3467492E+02  .302888E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.2E+03  .6569E+04   .   .   .   .  .16E+02  .25E+02  .4024768E+02  .1292066E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.187E+04  .6109E+04   .   .   .   .  .1E+02  .23E+02  .3653251E+02  .1535144E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.176E+04  .5819E+04   .   .   .   .  .11E+02  .22E+02  .3900929E+02  .1945384E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
