"MAPNUM","MINLAT","MAXLAT","MINLON","MAXLON","LABLAT","LABLON","XRED","YRED","XGREEN","YGREEN","XDOUBLE","YDOUBLE","XGRID","YGRID","PERIM","AREA","GRIDX","GRIDY","XGRIDCOO","YGRIDCOO","BOXSIZEX","BOXSIZEY","COMPLETE","TOTALCEL","TOTALRED","TOTALGRE","TOTALDOU","MEANPERI","MEANAREA"
1,2889,3039,1590,1820,,,,,,,,,,,,,,,,,,,,,,,,,
2,-221,3979,-430,4260,,,,,,,,,,,,,,,,,,,,,,,,,
3,1239,4869,4260,5190,,,,,,,,,,,,,,,,,,,,,,,,,
4,4869,6039,-10,4550,,,,,,,,,,,,,,,,,,,,,,,,,
5,3949,5869,-890,40,,,,,,,,,,,,,,,,,,,,,,,,,
5,3949,5869,-890,40,,,-330,4549,,,,,3,17,38.390092879,333.94358232,,,,,,,,,,,,,
5,3949,5869,-890,40,,,-340,4659,,,,,3,17,45.820433437,1277.4971484,,,,,,,,,,,,,
5,3949,5869,-890,40,,,270,4009,,,,,5,15,21.671826625,55.976765807,,,,,,,,,,,,,
5,3949,5869,-890,40,,,120,4079,,,,,5,15,40.247678019,238.85976094,,,,,,,,,,,,,
5,3949,5869,-890,40,,,250,4109,,,,,5,15,42.724458204,904.06310804,,,,,,,,,,,,,
5,3949,5869,-890,40,,,110,3969,,,,,5,15,45.20123839,319.75768961,,,,,,,,,,,,,
5,3949,5869,-890,40,,,720,2859,,,,,7,11,52.631578947,717.72949035,,,,,,,,,,,,,
5,3949,5869,-890,40,,,730,2759,,,,,7,11,32.817337461,382.63570052,,,,,,,,,,,,,
5,3949,5869,-890,40,,,800,2129,,,,,7,9,38.390092879,613.82741135,,,,,,,,,,,,,
5,3949,5869,-890,40,,,1010,1559,,,,,7,7,42.724458204,805.52866412,,,,,,,,,,,,,
5,3949,5869,-890,40,,,970,1629,,,,,7,7,34.674922601,421.74275608,,,,,,,,,,,,,
5,3949,5869,-890,40,,,190,1569,,,,,5,7,40.247678019,1284.014991,,,,,,,,,,,,,
