"V1","V2"
1320,-2201
1090,-1951
670,-1711
230,-1351
-190,-1071
-680,-1001
-150,-781
160,-511
380,-311
1010,1269
1120,1329
1340,1929
960,1979
120,2019
-990,2159
-1680,2399
-1950,2359
-1950,1419
-2510,1709
-2840,1869
-3190,1909
-3370,1759
-3510,1649
-3480,1649
-4150,1089
-4590,419
-4770,-351
-4950,-801
-3860,-1221
-4510,-2111
-4480,-2071
-4550,-2311
-4310,-2691
-4060,-3151
-3550,-4021
-3330,-4041
-3110,-3911
-2020,-2981
-1970,-3331
-1910,-3691
-1730,-4111
-1530,-4421
-1280,-4601
-1170,-4621
-910,-4511
-640,-4511
-40,-4201
1360,-3641
1450,-3511
1410,-3041
1430,-2471
1290,-2181
