MAPNUM	MINLAT	MAXLAT	MINLON	MAXLON	LABLAT	LABLON	XRED	YRED	XGREEN	YGREEN	XDOUBLE	YDOUBLE	XGRID	YGRID	PERIM	AREA	GRIDX	GRIDY	XGRIDCOO	YGRIDCOO	BOXSIZEX	BOXSIZEY	COMPLETE	TOTALCEL	TOTALRED	TOTALGRE	TOTALDOU	MEANPERI	MEANAREA	
1.000	1749.000	1999.000	1350.000	1580.000	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
2.000	-31.000	4279.000	-890.000	3820.000	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	890.000	3889.000	.	.	8.000	17.000	29.721	106.202	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	860.000	3779.000	.	.	8.000	16.000	38.390	272.983	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	780.000	4099.000	.	.	7.000	18.000	33.437	186.717	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1300.000	4029.000	.	.	9.000	17.000	47.059	1708.442	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1280.000	3929.000	.	.	9.000	17.000	61.920	2813.408	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1420.000	3959.000	.	.	10.000	17.000	23.529	29.905	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1440.000	3849.000	.	.	10.000	17.000	37.152	581.238	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1360.000	3789.000	.	.	9.000	16.000	35.913	841.185	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1550.000	3779.000	.	.	10.000	16.000	20.433	465.834	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1510.000	3739.000	.	.	10.000	16.000	63.158	1425.874	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1370.000	3689.000	.	.	10.000	16.000	21.053	43.324	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1300.000	3619.000	.	.	9.000	16.000	52.012	734.216	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1260.000	3509.000	.	.	9.000	16.000	46.440	491.905	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1470.000	3529.000	.	.	10.000	16.000	39.628	1257.177	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1510.000	3559.000	.	.	10.000	16.000	41.486	400.272	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1570.000	3569.000	.	.	10.000	16.000	74.923	3118.596	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1590.000	3489.000	.	.	10.000	15.000	53.870	2451.476	.	.	.	.	.	.	.	.	.	.	.	.	.	
3.000	-561.000	2439.000	1870.000	3400.000	.	.	.	.	1480.000	3499.000	.	.	10.000	15.000	39.009	212.405	.	.	.	.	.	.	.	.	.	.	.	.	.	
