   MAPNUM       MINLAT       MAXLAT       MINLON       MAXLON       LABLAT       LABLON         XRED         YRED       XGREEN       YGREEN      XDOUBLE      YDOUBLE        XGRID        YGRID        PERIM         AREA        GRIDX        GRIDY     XGRIDCOO     YGRIDCOO     BOXSIZEX     BOXSIZEY     COMPLETE     TOTALCEL     TOTALRED     TOTALGRE     TOTALDOU     MEANPERI     MEANAREA    
            1          439          639         -520         -390          .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .  
            2           69         3669        -2850         1950          .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .  
            3        -2161         1549        -2940         1130          .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2220         3199          .            .            .            .             12           21      29.7214      84.7319          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2330         3099          .            .            .            .             12           21      31.5789      578.171          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2200         3019          .            .            .            .             11           21      54.4892      329.726          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2260         3049          .            .            .            .             12           21      26.0062    1070.4598          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2040         3099          .            .            .            .             11           21      35.9133      838.118          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1810         2879          .            .            .            .             10           20      34.6749      3.83403          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1880         2899          .            .            .            .             10           20       47.678   1153.65814          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1980         2919          .            .            .            .             11           20      43.3436   1104.19922          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1990         3009          .            .            .            .             11           21      35.2941      354.264          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1920         2799          .            .            .            .             11           20      45.8204      912.881          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2030         2779          .            .            .            .             11           20      37.7709   1111.48386          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2140         2859          .            .            .            .             11           20      64.3963   3086.00677          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2200         2889          .            .            .            .             11           20      37.1517   2411.60176          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1970         2779          .            .            .            .             11           20      27.2446       777.54          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1750         2799          .            .            .            .             10           20      30.9597      64.0282          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1790         2859          .            .            .            .             10           20      29.1022       185.95          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2390         2989          .            .            .            .             12           21      38.3901      251.129          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2280         2959          .            .            .            .             12           21      37.7709       389.92          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2230         2849          .            .            .            .             12           20      21.6718      157.962          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2300         2769          .            .            .            .             12           20      33.4365      714.662          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2280         2739          .            .            .            .             12           20      19.8142      302.888          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2410         2849          .            .            .            .             12           20      43.3436   1441.21002          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2570         2879          .            .            .            .             13           20      43.9629   2205.33121          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2560         2739          .            .            .            .             13           20       44.582   1865.25319          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2450         2949          .            .            .            .             12           21      33.4365      448.964          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2510         2759          .            .            .            .             13           20      39.0093   1688.50463          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2300         2829          .            .            .            .             12           20      17.9567      281.417          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2600         2709          .            .            .            .             13           20      34.0557   1682.37019          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2710         2689          .            .            .            .             13           20      42.7245   1908.96108          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2680         2609          .            .            .            .             13           19      40.2477      626.096          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2700         2639          .            .            .            .             13           19      18.5758      568.969          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2600         2659          .            .            .            .             13           20      39.0093      659.452          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2530         2659          .            .            .            .             13           20      31.5789      805.145          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2450         2689          .            .            .            .             12           20      35.2941      660.986          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2380         2639          .            .            .            .             12           19      26.6254      421.743          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2370         2629          .            .            .            .             12           19      39.0093      823.165          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2420         2609          .            .            .            .             12           19      10.5263      16.8697          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2430         2539          .            .            .            .             12           19      32.1981      301.738          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2430         2559          .            .            .            .             12           19      21.6718      292.153          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2510         2589          .            .            .            .             13           19       44.582      825.082          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2560         2519          .            .            .            .             13           19       50.774   1493.35276          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2550         2469          .            .            .            .             13           19      53.2508      976.526          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2620         2459          .            .            .            .             13           19      45.8204      851.154          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2690         2449          .            .            .            .             13           19      30.9597   1114.55108          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2680         2429          .            .            .            .             13           19      27.8638   1058.19092          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2630         2389          .            .            .            .             13           19      45.2012   1690.03824          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2650         2359          .            .            .            .             13           19      31.5789   1069.30959          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2680         2349          .            .            .            .             13           18      30.3406      743.417          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2730         2359          .            .            .            .             13           19       25.387   1024.45149          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2740         2339          .            .            .            .             13           18      23.5294   1364.52952          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2800         2369          .            .            .            .             14           19      29.7214   1404.01998          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2790         2419          .            .            .            .             14           19      29.1022   1465.36438          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2760         2469          .            .            .            .             13           19      74.9226   3670.69559          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2520         2399          .            .            .            .             13           19      27.8638      788.659          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2480         2449          .            .            .            .             12           19      26.6254      437.079          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2460         2459          .            .            .            .             12           19      24.7678      397.205          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2400         2489          .            .            .            .             12           19      27.8638      392.604          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2380         2469          .            .            .            .             12           19      27.8638      179.432          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2360         2409          .            .            .            .             12           19      23.5294      121.155          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2390         2389          .            .            .            .             12           19       22.291       128.44          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2340         2369          .            .            .            .             12           19       22.291      80.1311          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2500         2399          .            .            .            .             13           19      29.7214      608.076          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2580         2579          .            .            .            .             13           19      33.4365   1319.67142          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2670         2719          .            .            .            .             13           20      32.8173      484.621          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2650         2699          .            .            .            .             13           20      32.8173       555.55          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2670         2509          .            .            .            .             13           19      59.4427   2975.20344          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2860         2499          .            .            .            .             14           19      41.4861   1237.23989          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2850         2529          .            .            .            .             14           19      19.8142      263.398          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2830         2459          .            .            .            .             14           19      57.5851   1833.43078          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2880         2419          .            .            .            .             14           19      34.0557   1112.63407          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           3020         2379          .            .            .            .             14           19      37.1517      648.334          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2250         2689          .            .            .            .             12           20      58.8235   2593.33455          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2260         2609          .            .            .            .             12           19      42.7245    2111.3976          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2280         2549          .            .            .            .             12           19      37.7709   1264.46146          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2220         2569          .            .            .            .             12           19      26.6254      711.978          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2240         2449          .            .            .            .             12           19      29.1022      955.056          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2250         2359          .            .            .            .             12           19      35.2941    1453.8623          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2160         2409          .            .            .            .             11           19      45.2012       905.98          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2170         2359          .            .            .            .             11           19       28.483      560.918          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2210         2419          .            .            .            .             12           19      37.7709    1101.5154          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2130         2339          .            .            .            .             11           18      22.9102      320.908          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2070         2329          .            .            .            .             11           18      35.9133       237.71          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2100         2399          .            .            .            .             11           19      35.9133      264.164          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2160         2519          .            .            .            .             11           19      45.2012      918.632          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2200         2519          .            .            .            .             11           19       28.483      484.621          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2060         2519          .            .            .            .             11           19      33.4365      670.571          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2040         2439          .            .            .            .             11           19      34.6749      327.809          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2050         2489          .            .            .            .             11           19      17.9567      490.755          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1990         2469          .            .            .            .             11           19      39.0093      453.949          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1960         2489          .            .            .            .             11           19      42.7245      203.203          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2000         2419          .            .            .            .             11           19      27.2446      223.524          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1990         2649          .            .            .            .             11           20      29.1022      361.932          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2050         2629          .            .            .            .             11           19      43.3436      486.538          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2100         2529          .            .            .            .             11           19      21.6718      235.793          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           2130         2619          .            .            .            .             11           19      46.4396      820.098          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1930         2659          .            .            .            .             11           20       47.678      139.942          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1780         2609          .            .            .            .             10           19      56.9659   2043.15195          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1710         2559          .            .            .            .             10           19      48.2972      38.7236          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1860         2599          .            .            .            .             10           19      30.3406   1227.27142          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1860         2539          .            .            .            .             10           19      26.0062      255.729          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1880         2419          .            .            .            .             10           19      32.1981      748.785          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1860         2389          .            .            .            .             10           19      34.0557   1399.80255          .            .            .            .            .            .            .            .            .            .            .            .            .  
            4        -1961          439         -210         1990          .            .           1840         2359          .            .            .            .             10           19      27.2446      850.387          .            .            .            .            .            .            .            .            .            .            .            .            .  
