   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 1.  .169E+03  .289E+03 -.55E+03 -.4E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 2. -.1401E+04  .2799E+04 -.309E+04  .134E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.101E+04  .2429E+04   .   .   .   .  9.  .17E+02  .1857585E+02  .2841013E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.96E+03  .2379E+04   .   .   .   .  9.  .17E+02  .1547988E+02  .2047369E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.89E+03  .2169E+04   .   .   .   .  9.  .17E+02  .2352941E+02  .6191951E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.68E+03  .2239E+04   .   .   .   .  .1E+02  .17E+02  .2167183E+02  .6958756E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .81E+03  .2179E+04   .   .   .   .  .15E+02  .17E+02  .3157895E+02  .6583021E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .101E+04  .1939E+04   .   .   .   .  .16E+02  .16E+02  .3219814E+02  .1106883E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .34E+03  .1999E+04   .   .   .   .  .13E+02  .16E+02  .6006192E+02  .5624515E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .37E+03  .2059E+04   .   .   .   .  .13E+02  .16E+02  .2662539E+02  .452415E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .49E+03  .2039E+04   .   .   .   .  .14E+02  .16E+02  .3219814E+02  .5375303E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .71E+03  .2159E+04   .   .   .   .  .15E+02  .16E+02  .3900929E+02  .2587967E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .39E+03  .2329E+04   .   .   .   .  .13E+02  .17E+02  .4272446E+02  .1007198E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  0.  .2079E+04   .   .   .   .  .12E+02  .16E+02  .371517E+02  .9140316E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .5E+02  .1789E+04   .   .   .   .  .12E+02  .15E+02  .2291022E+02  .145693E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .21E+03  .2179E+04   .   .   .   .  .13E+02  .17E+02  .2229102E+02  .4899884E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.34E+03  .2049E+04   .   .   .   .  .11E+02  .16E+02  .4148607E+02  .1085029E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.64E+03  .2089E+04   .   .   .   .  .1E+02  .16E+02  .2600619E+02  .9052133E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.85E+03  .2009E+04   .   .   .   .  9.  .16E+02  .1671827E+02  .6977926E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.77E+03  .1989E+04   .   .   .   .  9.  .16E+02  .2600619E+02  .6084598E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.56E+03  .2109E+04   .   .   .   .  .1E+02  .16E+02  .2043344E+02  .6161278E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.51E+03  .1969E+04   .   .   .   .  .1E+02  .16E+02  .2229102E+02  .1015633E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.47E+03  .1909E+04   .   .   .   .  .1E+02  .16E+02  .2662539E+02  .1544729E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.92E+03  .2239E+04   .   .   .   .  9.  .17E+02  .2105263E+02  6.90125   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.111E+04  .2059E+04   .   .   .   .  8.  .16E+02  .1981424E+02  .5624515E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.106E+04  .1849E+04   .   .   .   .  8.  .15E+02  .3405573E+02  .1305102E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.117E+04  .1879E+04   .   .   .   .  8.  .16E+02  .3095975E+02  .5099253E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.96E+03  .1509E+04   .   .   .   .  9.  .14E+02  .3405573E+02  .1284015E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.83E+03  .1609E+04   .   .   .   .  9.  .15E+02  .3034056E+02  .5099253E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.68E+03  .1439E+04   .   .   .   .  .1E+02  .14E+02  .3591331E+02  .123609E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.6E+03  .1549E+04   .   .   .   .  .1E+02  .14E+02  .3095975E+02  .5843054E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.38E+03  .1519E+04   .   .   .   .  .11E+02  .14E+02  .2662539E+02  .5751038E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.45E+03  .1619E+04   .   .   .   .  .11E+02  .15E+02  .247678E+02  .3216747E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.28E+03  .1569E+04   .   .   .   .  .11E+02  .14E+02  .2352941E+02  .1874838E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .3E+02  .1789E+04   .   .   .   .  .12E+02  .15E+02  .4520124E+02  .2540808E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.4E+02  .1609E+04   .   .   .   .  .12E+02  .15E+02  .2600619E+02  .8480863E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .19E+03  .1589E+04   .   .   .   .  .13E+02  .15E+02  .3900929E+02  .1763652E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .78E+03  .1649E+04   .   .   .   .  .15E+02  .15E+02  .4520124E+02  .1966088E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .83E+03  .1619E+04   .   .   .   .  .15E+02  .15E+02  .3839009E+02  .2564579E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .1E+04  .1639E+04   .   .   .   .  .16E+02  .15E+02  .247678E+02  .489605E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .73E+03  .1289E+04   .   .   .   .  .15E+02  .13E+02  .3839009E+02  .7702556E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .79E+03  .1059E+04   .   .   .   .  .15E+02  .13E+02  .3095975E+02  .7418839E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .73E+03  .1099E+04   .   .   .   .  .15E+02  .13E+02  .2043344E+02  .4278772E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .28E+03  .1269E+04   .   .   .   .  .13E+02  .13E+02  .3839009E+02  .6310805E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .35E+03  .1159E+04   .   .   .   .  .13E+02  .13E+02  .3157895E+02  .7441843E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .41E+03  .1159E+04   .   .   .   .  .13E+02  .13E+02  .3219814E+02  .6866739E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.2E+02  .1139E+04   .   .   .   .  .12E+02  .13E+02  .3467492E+02  .4911386E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.43E+03  .1119E+04   .   .   .   .  .11E+02  .13E+02  .377709E+02  .5087751E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.34E+03  .1439E+04   .   .   .   .  .11E+02  .14E+02  .2910217E+02  .6464166E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.65E+03  .1379E+04   .   .   .   .  .1E+02  .14E+02  .4643963E+02  .2084943E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.78E+03  .1179E+04   .   .   .   .  9.  .13E+02  .3157895E+02  .8795254E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.102E+04  .1329E+04   .   .   .   .  9.  .14E+02  .5139319E+02  .3189909E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .31E+03  .839E+03   .   .   .   .  .13E+02  .12E+02  .5077399E+02  .1300118E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .22E+03  .949E+03   .   .   .   .  .13E+02  .12E+02  .625387E+02  .142434E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .  .23E+03  .739E+03   .   .   .   .  .13E+02  .12E+02  .4520124E+02  .5938905E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.1E+02  .709E+03   .   .   .   .  .12E+02  .11E+02  .5882353E+02  .8975453E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.7E+02  .879E+03   .   .   .   .  .12E+02  .12E+02  .4024768E+02  .3239751E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.26E+03  .669E+03   .   .   .   .  .11E+02  .11E+02  .3467492E+02  .1986025E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   . -.16E+03  .609E+03   .   .   .   .  .12E+02  .11E+02  .3157895E+02  .1687738E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.91E+03  .2454E+04   .   .  9.  .18E+02  .3839009E+02  .6847569E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.88E+03  .2364E+04   .   .  9.  .17E+02  .2600619E+02  .6621361E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.81E+03  .2334E+04   .   .  .1E+02  .17E+02  .2414861E+02  .6636697E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.84E+03  .2274E+04   .   .  .1E+02  .17E+02  .5325077E+02  .3241285E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.88E+03  .2214E+04   .   .  9.  .17E+02  .3034056E+02  .7602872E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.87E+03  .2254E+04   .   .  9.  .17E+02  .5077399E+02  .2620556E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.97E+03  .2294E+04   .   .  9.  .17E+02  .2043344E+02  .2223735E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.97E+03  .2354E+04   .   .  9.  .17E+02  .3281734E+02  .1757134E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.109E+04  .2344E+04   .   .  9.  .17E+02  .2600619E+02  .3197577E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.116E+04  .2304E+04   .   .  8.  .17E+02  .2414861E+02  .5517162E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.117E+04  .2264E+04   .   .  8.  .17E+02  .6130031E+02  .5984913E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.125E+04  .2264E+04   .   .  8.  .17E+02  .3962848E+02  .884893E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.125E+04  .2414E+04   .   .  8.  .18E+02  .3157895E+02  .5831552E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.124E+04  .2474E+04   .   .  8.  .18E+02  .3157895E+02  .4351618E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.125E+04  .2344E+04   .   .  8.  .17E+02  .3962848E+02  .4106241E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.127E+04  .2214E+04   .   .  8.  .17E+02  .3219814E+02  .6234125E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.125E+04  .2174E+04   .   .  8.  .17E+02  .377709E+02  .2538125E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.123E+04  .2154E+04   .   .  8.  .17E+02  .2910217E+02  .120005E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.12E+04  .2114E+04   .   .  8.  .17E+02  .2414861E+02  .1426257E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.116E+04  .2154E+04   .   .  8.  .17E+02  .495356E+02  .3623154E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.116E+04  .2224E+04   .   .  8.  .17E+02  .3219814E+02  .5394473E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.112E+04  .2224E+04   .   .  9.  .17E+02  .2786378E+02  .5064747E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.111E+04  .2114E+04   .   .  9.  .17E+02  .3591331E+02  .6437328E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.108E+04  .2154E+04   .   .  9.  .17E+02  .3591331E+02  .5095419E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.107E+04  .2194E+04   .   .  9.  .17E+02  .371517E+02  .7112117E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.107E+04  .2224E+04   .   .  9.  .17E+02  .3900929E+02  .3615486E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.103E+04  .2244E+04   .   .  9.  .17E+02  .247678E+02  .861122E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.1E+04  .2244E+04   .   .  9.  .17E+02  .4767802E+02  .1704991E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.94E+03  .2204E+04   .   .  9.  .17E+02  .4520124E+02  .9090473E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.95E+03  .2114E+04   .   .  9.  .17E+02  .3962848E+02  .8323668E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.97E+03  .2164E+04   .   .  9.  .17E+02  .2229102E+02  .3063386E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.88E+03  .2284E+04   .   .  9.  .17E+02  .4891641E+02  .8461693E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.96E+03  .2074E+04   .   .  9.  .16E+02  .4891641E+02  .1767869E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.1E+04  .2064E+04   .   .  9.  .16E+02  .4210526E+02  .2415436E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.103E+04  .2054E+04   .   .  9.  .16E+02  .4024768E+02  .1119535E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.104E+04  .2084E+04   .   .  9.  .17E+02  .377709E+02  .94202E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.108E+04  .2024E+04   .   .  9.  .16E+02  .1981424E+02  .1617959E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.117E+04  .2074E+04   .   .  8.  .16E+02  .3839009E+02  .1288232E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.114E+04  .2104E+04   .   .  9.  .17E+02  .4148607E+02  .7507021E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.126E+04  .2044E+04   .   .  8.  .16E+02  .1733746E+02  .3182241E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.121E+04  .2014E+04   .   .  8.  .16E+02  .377709E+02  .2392432E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.87E+03  .2034E+04   .   .  9.  .16E+02  .2414861E+02  .8500034E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.82E+03  .2044E+04   .   .  .1E+02  .16E+02  .2786378E+02  .1060491E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.92E+03  .2224E+04   .   .  9.  .17E+02  .2229102E+02  .1024835E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.78E+03  .2204E+04   .   .  .1E+02  .17E+02  .3653251E+02  .2116382E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.75E+03  .2144E+04   .   .  .1E+02  .17E+02  .4582043E+02  .6494838E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.6E+03  .2134E+04   .   .  .1E+02  .17E+02  .6873065E+02  .1879439E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.82E+03  .2174E+04   .   .  .1E+02  .17E+02  .3034056E+02  .8051453E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2271E+04  .159E+03 -.197E+04  .91E+03   .   .   .   . -.68E+03  .2184E+04   .   .  .1E+02  .17E+02  .1919505E+02  .3607818E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
