"V1","V2"
1940.65335596122,707.056594945108
1990,699
2760,859
3070,1079
3320,1659
3410,1879
2610,2699
1960,3059
1140,3259
590,2899
270,2499
210,1569
-350,2099
-1080,2769
-1370,2589
-1790,2189
-2280,1589
-2730,1299
-2770,1099
-2390,899
-2330,859
-2770,879
-3100,659
-2330,589
-1810,389
-930,279
-1410,-101
-1590,-411
-1790,-521
-2300,-1321
-2480,-1701
-1930,-2211
-1280,-2341
-660,-1811
-240,-1431
390,-611
160,-1231
230,-1631
30,-2011
140,-2541
210,-2611
430,-2741
920,-2811
1470,-2631
2560,-2101
2940,-1831
2940,-1521
2720,-1011
2650,-941
2470,-811
2270,-501
2540,-631
2630,-541
2360,-301
2190,79
2010,299
1870,479
1041.29411764706,853.890756302519
