   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 1. -.591E+03 -.461E+03 -.26E+03 -.4E+02   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 2. -.1171E+04  .2759E+04 -.288E+04  .207E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 3. -.2861E+04  .1359E+04 -.333E+04 -.222E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 4. -.3931E+04 -.2591E+04 -.246E+04  .207E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .191E+04 -.1591E+04   .   .   .   .  .19E+02  .1E+02  .2786378E+02  .5145262E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .169E+04 -.1691E+04   .   .   .   .  .18E+02  .1E+02  .3219814E+02  .2867851E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .214E+04 -.1661E+04   .   .   .   .  .2E+02  .1E+02  .4458204E+02  .1019084E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .258E+04 -.1901E+04   .   .   .   .  .21E+02  9.  .6130031E+02  .1801225E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .253E+04 -.1761E+04   .   .   .   .  .21E+02  9.  .4829721E+02  .2081492E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .232E+04 -.2131E+04   .   .   .   .  .2E+02  8.  .2786378E+02  .302888E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .253E+04 -.2171E+04   .   .   .   .  .21E+02  8.  .3219814E+02  .1155192E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .261E+04 -.2181E+04   .   .   .   .  .21E+02  8.  .377709E+02  .125756E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .229E+04 -.2331E+04   .   .   .   .  .2E+02  7.  .4767802E+02  .7495519E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .213E+04 -.2411E+04   .   .   .   .  .2E+02  7.  .4148607E+02  .1679303E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .209E+04 -.2101E+04   .   .   .   .  .2E+02  8.  .3281734E+02  .5149096E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .243E+04 -.2221E+04   .   .   .   .  .21E+02  8.  .3095975E+02  .9320515E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .198E+04 -.2261E+04   .   .   .   .  .19E+02  8.  .3405573E+02  .7974772E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .171E+04 -.2351E+04   .   .   .   .  .18E+02  7.  .5263158E+02  .5636017E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
