"","dataset","E","El","nflip","EOD","sqrt.E","mean.strain","mean.logstrain","OD.phi","OD.lambda","status","mess","time"
"1","developmental_retina/data/C57BL6J/P0/AP/GM116-2/R-CONTRA",0.00786286936742062,0.00786285397591585,0,4.82980810503794,0.0886727352454848,0.0996513120096726,0.101602367264974,-1.48650027312248,-0.625043564831155,"0","Success","115.403"
"2","developmental_retina/data/C57BL6J/P0/AP/GM116-3/R-CONTRA",0.00601711322962534,0.00601710069357348,0,7.39566112163027,0.0775699728862495,0.0867856550279336,0.0894716719562924,-1.44171768986071,1.05546849618075,"0","Success","133.054"
"3","developmental_retina/data/C57BL6J/P0/AP/GM116-5/R-CONTRA",0.00551202934081636,0.0055120268655432,0,9.96651958193367,0.0742430257030464,0.0836065724088884,0.084546820574906,-1.39684774512567,0.985017135287475,"0","Success","196.885"
"4","developmental_retina/data/C57BL6J/P0/AP/GM119-2/R-CONTRA",0.00622158845624394,0.00622158755833658,0,8.49752993974757,0.0788770407554479,0.0902768004087266,0.0917575351923879,-1.42248645105951,1.96438620273806,"0","Success","158.53"
"5","developmental_retina/data/C57BL6J/P0/AP/GM119-3/L-IPSI",0.00405886572575232,0.00405886529430734,0,6.49673757309179,0.0637092245621256,0.0698256853944299,0.0702692575698616,-1.45740686550642,-2.08825519780255,"0","Success","112.432"
"6","developmental_retina/data/C57BL6J/P0/AP/GM119-3/R-CONTRA",0.00385475276862501,0.00385475095894481,0,7.88209223421305,0.0620866407445661,0.0736911522533356,0.0750433916050234,-1.433227865362,2.4949868994228,"0","Success","238.252"
"7","developmental_retina/data/C57BL6J/P0/AP/GM119-4/R-CONTRA",0.00984939478420636,0.00984930434777687,0,NA,0.0992436614992457,0.104457788423208,0.108489679809696,NA,NA,"0","Success","226.891"
"8","developmental_retina/data/C57BL6J/P0/AP/GM121-1/R-CONTRA",0.00691718142946843,0.00691717549574282,0,18.8402973695833,0.0831695587083568,0.0936320467244558,0.0967567691367091,-1.24197110564084,0.293499287706692,"0","Success","130.464"
"9","developmental_retina/data/C57BL6J/P0/AP/GM150-1/R-CONTRA",0.00528050973060087,0.0052805090903906,0,10.4354631631062,0.0726671114768614,0.0750545652931239,0.0768308321531904,-1.38866313562811,1.62742382047879,"0","Success","100.793"
"10","developmental_retina/data/C57BL6J/P0/AP/GM150-3/R-CONTRA",0.00613768687831554,0.0061376847873694,0,7.98343359960428,0.0783433774314677,0.086898301006593,0.0888572506792893,-1.43145912486746,-2.19257889212344,"0","Success","233.785"
